Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  02:00:00,20.4,20.403248195704046 
 01/25  02:01:00,20.4,20.403248195704184 
 01/25  02:02:00,20.4,20.403248195704433 
 01/25  02:03:00,20.4,20.403248195704788 
 01/25  02:04:00,20.4,20.40324819570524 
 01/25  02:05:00,20.4,20.403248195705783 
 01/25  02:06:00,20.4,20.403248195706408 
 01/25  02:07:00,20.4,20.403248195707105 
 01/25  02:08:00,20.4,20.40324819570786 
 01/25  02:09:00,20.4,20.403248195708668 
 01/25  02:10:00,20.4,20.403248195709499 
 01/25  02:11:00,20.4,20.403248195710345 
 01/25  02:12:00,20.4,20.403248195711187 
 01/25  02:13:00,20.4,20.403248195712018 
 01/25  02:14:00,20.4,20.40324819571283 
 01/25  02:15:00,20.4,20.40324819571362 
 01/25  02:16:00,20.4,20.403248195714388 
 01/25  02:17:00,20.4,20.40324819571513 
 01/25  02:18:00,20.4,20.40324819571585 
 01/25  02:19:00,20.4,20.40324819571655 
 01/25  02:20:00,20.4,20.403248195717226 
 01/25  02:21:00,20.4,20.403248195717894 
 01/25  02:22:00,20.4,20.40324819571856 
 01/25  02:23:00,20.4,20.403248195719237 
 01/25  02:24:00,20.4,20.40324819571993 
 01/25  02:25:00,20.4,20.40324819572065 
 01/25  02:26:00,20.4,20.40324819572139 
 01/25  02:27:00,20.4,20.403248195722143 
 01/25  02:28:00,20.4,20.403248195722897 
 01/25  02:29:00,20.4,20.40324819572363 
 01/25  02:30:00,20.4,20.403248195724318 
 01/25  02:31:00,20.4,20.403248195724936 
 01/25  02:32:00,20.4,20.403248195725458 
 01/25  02:33:00,20.4,20.40324819572588 
 01/25  02:34:00,20.4,20.403248195726193 
 01/25  02:35:00,20.4,20.403248195726407 
 01/25  02:36:00,20.4,20.403248195726538 
 01/25  02:37:00,20.4,20.403248195726606 
 01/25  02:38:00,20.4,20.403248195726627 
 01/25  02:39:00,20.4,20.403248195726623 
 01/25  02:40:00,20.4,20.40324819572661 
 01/25  02:41:00,20.4,20.403248195726595 
 01/25  02:42:00,20.4,20.403248195726567 
 01/25  02:43:00,20.4,20.40324819572652 
 01/25  02:44:00,20.4,20.403248195726439 
 01/25  02:45:00,20.4,20.403248195726325 
 01/25  02:46:00,20.4,20.403248195726176 
 01/25  02:47:00,20.4,20.403248195725973 
 01/25  02:48:00,20.4,20.403248195725725 
 01/25  02:49:00,20.4,20.403248195725433 
 01/25  02:50:00,20.4,20.403248195725113 
 01/25  02:51:00,20.4,20.40324819572477 
 01/25  02:52:00,20.4,20.40324819572441 
 01/25  02:53:00,20.4,20.403248195724037 
 01/25  02:54:00,20.4,20.403248195723657 
 01/25  02:55:00,20.4,20.403248195723266 
 01/25  02:56:00,20.4,20.403248195722857 
 01/25  02:57:00,20.4,20.403248195722424 
 01/25  02:58:00,20.4,20.40324819572195 
 01/25  02:59:00,20.4,20.40324819572144 
 01/25  03:00:00,20.4,20.403248195720886 
 01/25  03:01:00,20.4,20.40324819572028 
 01/25  03:02:00,20.4,20.40324819571964 
 01/25  03:03:00,20.4,20.403248195718978 
 01/25  03:04:00,20.4,20.403248195718317 
 01/25  03:05:00,20.4,20.403248195717678 
 01/25  03:06:00,20.4,20.403248195717095 
 01/25  03:07:00,20.4,20.403248195716598 
 01/25  03:08:00,20.4,20.4032481957162 
 01/25  03:09:00,20.4,20.403248195715908 
 01/25  03:10:00,20.4,20.403248195715724 
 01/25  03:11:00,20.4,20.403248195715635 
 01/25  03:12:00,20.4,20.403248195715635 
 01/25  03:13:00,20.4,20.403248195715709 
 01/25  03:14:00,20.4,20.403248195715844 
 01/25  03:15:00,20.4,20.403248195716026 
 01/25  03:16:00,20.4,20.403248195716239 
 01/25  03:17:00,20.4,20.40324819571648 
 01/25  03:18:00,20.4,20.403248195716736 
 01/25  03:19:00,20.4,20.403248195716988 
 01/25  03:20:00,20.4,20.403248195717226 
 01/25  03:21:00,20.4,20.403248195717429 
 01/25  03:22:00,20.4,20.403248195717585 
