Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  02:34:00,20.4,22.252869572507198,20.445535247339375,22.339999999999996 
 01/25  02:35:00,20.4,22.252869572546114,20.44553524733197,22.339999999999996 
 01/25  02:36:00,20.4,22.252869572577797,20.445535247320002,22.34 
 01/25  02:37:00,20.4,22.2528695726009,20.445535247304093,22.34 
 01/25  02:38:00,20.4,22.252869572614095,20.445535247284866,22.34 
 01/25  02:39:00,20.4,22.2528695726161,20.44553524726289,22.339999999999993 
 01/25  02:40:00,20.4,22.252869572605736,20.44553524723861,22.339999999999996 
 01/25  02:41:00,20.4,22.252869572582156,20.44553524721229,22.339999999999996 
 01/25  02:42:00,20.4,22.252869572545073,20.44553524718404,22.339999999999996 
 01/25  02:43:00,20.4,22.252869572494948,20.44553524715384,22.339999999999996 
 01/25  02:44:00,20.4,22.252869572433013,20.445535247121587,22.34 
 01/25  02:45:00,20.4,22.252869572361146,20.44553524708722,22.339999999999996 
 01/25  02:46:00,20.4,22.252869572281675,20.44553524705086,22.34 
 01/25  02:47:00,20.4,22.252869572197223,20.445535247012916,22.339999999999996 
 01/25  02:48:00,20.4,22.252869572110576,20.445535246974188,22.34 
 01/25  02:49:00,20.4,22.252869572024572,20.445535246935766,22.339999999999996 
 01/25  02:50:00,20.4,22.252869571941908,20.44553524689885,22.339999999999996 
 01/25  02:51:00,20.4,22.252869571864903,20.445535246864594,22.339999999999993 
 01/25  02:52:00,20.4,22.252869571795284,20.445535246833867,22.34 
 01/25  02:53:00,20.4,22.252869571734117,20.44553524680719,22.34 
 01/25  02:54:00,20.4,22.25286957168185,20.4455352467847,22.34 
 01/25  02:55:00,20.4,22.2528695716384,20.445535246766212,22.339999999999996 
 01/25  02:56:00,20.4,22.252869571603263,20.445535246751312,22.339999999999996 
 01/25  02:57:00,20.4,22.25286957157562,20.44553524673946,22.34 
 01/25  02:58:00,20.4,22.25286957155448,20.445535246730078,22.339999999999996 
 01/25  02:59:00,20.4,22.252869571538852,20.4455352467226,22.339999999999996 
 01/25  03:00:00,20.4,22.252869571527853,20.44553524671649,22.339999999999993 
 01/25  03:01:00,20.4,22.252869571520794,20.44553524671123,22.339999999999996 
 01/25  03:02:00,20.4,22.252869571517255,20.445535246706257,22.339999999999996 
 01/25  03:03:00,20.4,22.252869571517074,20.4455352467009,22.34 
 01/25  03:04:00,20.4,22.252869571520296,20.44553524669439,22.339999999999993 
 01/25  03:05:00,20.4,22.25286957152716,20.445535246686013,22.34 
 01/25  03:06:00,20.4,22.252869571538056,20.445535246675195,22.34 
 01/25  03:07:00,20.4,22.25286957155342,20.445535246661628,22.340000000000003 
 01/25  03:08:00,20.4,22.25286957157364,20.44553524664531,22.34 
 01/25  03:09:00,20.4,22.25286957159898,20.445535246626555,22.339999999999996 
 01/25  03:10:00,20.4,22.25286957162955,20.445535246605985,22.340000000000003 
 01/25  03:11:00,20.4,22.252869571665283,20.445535246584505,22.339999999999996 
 01/25  03:12:00,20.4,22.25286957170578,20.445535246563182,22.34 
 01/25  03:13:00,20.4,22.25286957175033,20.445535246543052,22.34 
 01/25  03:14:00,20.4,22.25286957179793,20.445535246524962,22.339999999999996 
 01/25  03:15:00,20.4,22.252869571847373,20.44553524650944,22.339999999999996 
 01/25  03:16:00,20.4,22.252869571897342,20.445535246496704,22.339999999999996 
 01/25  03:17:00,20.4,22.252869571946437,20.44553524648667,22.34 
 01/25  03:18:00,20.4,22.25286957199325,20.445535246479047,22.34 
 01/25  03:19:00,20.4,22.2528695720365,20.445535246473465,22.34 
 01/25  03:20:00,20.4,22.252869572075145,20.445535246469632,22.34 
 01/25  03:21:00,20.4,22.25286957210851,20.445535246467426,22.34 
 01/25  03:22:00,20.4,22.25286957213629,20.44553524646693,22.339999999999996 
 01/25  03:23:00,20.4,22.252869572158506,20.445535246468435,22.339999999999996 
 01/25  03:24:00,20.4,22.25286957217538,20.445535246472417,22.34 
 01/25  03:25:00,20.4,22.252869572187215,20.445535246479427,22.339999999999996 
 01/25  03:26:00,20.4,22.252869572194296,20.44553524649,22.339999999999996 
 01/25  03:27:00,20.4,22.252869572196882,20.445535246504548,22.339999999999996 
 01/25  03:28:00,20.4,22.252869572195273,20.44553524652323,22.339999999999996 
 01/25  03:29:00,20.4,22.252869572189734,20.445535246545848,22.339999999999996 
 01/25  03:30:00,20.4,22.252869572180444,20.445535246571886,22.34 
 01/25  03:31:00,20.4,22.25286957216736,20.445535246600617,22.339999999999996 
 01/25  03:32:00,20.4,22.252869572150153,20.44553524663124,22.339999999999996 
 01/25  03:33:00,20.4,22.252869572128283,20.445535246662928,22.34 
 01/25  03:34:00,20.4,22.252869572101147,20.445535246694842,22.339999999999996 
 01/25  03:35:00,20.4,22.25286957206828,20.44553524672614,22.34 
 01/25  03:36:00,20.4,22.252869572029592,20.44553524675601,22.34 
 01/25  03:37:00,20.4,22.252869571985425,20.44553524678369,22.34 
 01/25  03:38:00,20.4,22.252869571936518,20.445535246808426,22.339999999999996 
 01/25  03:39:00,20.4,22.25286957188387,20.445535246829508,22.339999999999996 
 01/25  03:40:00,20.4,22.252869571828647,20.445535246846315,22.339999999999996 
 01/25  03:41:00,20.4,22.25286957177206,20.445535246858423,22.34 
 01/25  03:42:00,20.4,22.252869571715348,20.445535246865695,22.34 
 01/25  03:43:00,20.4,22.252869571659744,20.445535246868257,22.34 
 01/25  03:44:00,20.4,22.252869571606475,20.445535246866466,22.34 
 01/25  03:45:00,20.4,22.25286957155668,20.44553524686077,22.339999999999996 
 01/25  03:46:00,20.4,22.252869571511223,20.445535246851705,22.34 
 01/25  03:47:00,20.4,22.252869571470583,20.445535246839817,22.339999999999996 
 01/25  03:48:00,20.4,22.252869571434715,20.44553524682562,22.339999999999996 
 01/25  03:49:00,20.4,22.25286957140299,20.445535246809584,22.340000000000003 
 01/25  03:50:00,20.4,22.25286957137426,20.44553524679214,22.34 
 01/25  03:51:00,20.4,22.25286957134702,20.445535246773765,22.34 
 01/25  03:52:00,20.4,22.2528695713197,20.445535246755053,22.34 
 01/25  03:53:00,20.4,22.252869571290905,20.44553524673672,22.339999999999996 
 01/25  03:54:00,20.4,22.252869571259676,20.44553524671963,22.339999999999996 
 01/25  03:55:00,20.4,22.252869571225595,20.445535246704672,22.34 
 01/25  03:56:00,20.4,22.25286957118869,20.44553524669267,22.339999999999996 
 01/25  03:57:00,20.4,22.252869571149343,20.445535246684237,22.34 
 01/25  03:58:00,20.4,22.252869571108143,20.445535246679697,22.34 
 01/25  03:59:00,20.4,22.252869571065816,20.44553524667907,22.34 
 01/25  04:00:00,20.4,22.252869571023226,20.44553524668205,22.339999999999996 
 01/25  04:01:00,20.4,22.252869570981353,20.445535246687996,22.339999999999996 
 01/25  04:02:00,20.4,22.25286957094126,20.445535246696004,22.339999999999996 
 01/25  04:03:00,20.4,22.25286957090402,20.44553524670501,22.339999999999996 
 01/25  04:04:00,20.4,22.252869570870605,20.445535246713963,22.339999999999996 
 01/25  04:05:00,20.4,22.252869570841803,20.44553524672205,22.339999999999996 
 01/25  04:06:00,20.4,22.252869570818174,20.445535246728873,22.339999999999996 
 01/25  04:07:00,20.4,22.25286957080004,20.445535246734497,22.339999999999996 
 01/25  04:08:00,20.4,22.252869570787496,20.44553524673936,22.339999999999996 
 01/25  04:09:00,20.4,22.252869570780486,20.445535246744118,22.339999999999996 
 01/25  04:10:00,20.4,22.2528695707789,20.445535246749465,22.339999999999996 
 01/25  04:11:00,20.4,22.252869570782664,20.44553524675601,22.339999999999996 
 01/25  04:12:00,20.4,22.252869570791784,20.44553524676423,22.339999999999993 
 01/25  04:13:00,20.4,22.252869570806386,20.445535246774426,22.34 
 01/25  04:14:00,20.4,22.252869570826718,20.445535246786733,22.339999999999996 
 01/25  04:15:00,20.4,22.25286957085309,20.445535246801175,22.339999999999996 
 01/25  04:16:00,20.4,22.252869570885803,20.445535246817638,22.339999999999996 
 01/25  04:17:00,20.4,22.25286957092501,20.44553524683587,22.339999999999996 
 01/25  04:18:00,20.4,22.25286957097064,20.44553524685552,22.34 
 01/25  04:19:00,20.4,22.2528695710224,20.445535246876208,22.339999999999996 
 01/25  04:20:00,20.4,22.252869571079867,20.445535246897556,22.34 
 01/25  04:21:00,20.4,22.25286957114255,20.44553524691922,22.339999999999996 
 01/25  04:22:00,20.4,22.252869571209985,20.445535246940874,22.34 
 01/25  04:23:00,20.4,22.252869571281817,20.445535246962248,22.34 
 01/25  04:24:00,20.4,22.252869571357806,20.445535246983066,22.339999999999996 
 01/25  04:25:00,20.4,22.252869571437742,20.445535247003008,22.339999999999996 
 01/25  04:26:00,20.4,22.25286957152138,20.4455352470217,22.339999999999996 
 01/25  04:27:00,20.4,22.252869571608365,20.445535247038762,22.34 
 01/25  04:28:00,20.4,22.25286957169821,20.445535247053915,22.339999999999996 
 01/25  04:29:00,20.4,22.252869571790303,20.445535247067074,22.339999999999996 
 01/25  04:30:00,20.4,22.25286957188394,20.445535247078464,22.339999999999996 
 01/25  04:31:00,20.4,22.25286957197841,20.44553524708859,22.34 
 01/25  04:32:00,20.4,22.252869572072996,20.44553524709818,22.34 
 01/25  04:33:00,20.4,22.252869572166993,20.445535247108175,22.34 
 01/25  04:34:00,20.4,22.25286957225972,20.445535247119597,22.339999999999996 
 01/25  04:35:00,20.4,22.252869572350505,20.445535247133478,22.339999999999996 
 01/25  04:36:00,20.4,22.2528695724387,20.445535247150758,22.339999999999996 
 01/25  04:37:00,20.4,22.25286957252365,20.445535247172167,22.34 
 01/25  04:38:00,20.4,22.25286957260461,20.44553524719816,22.34 
 01/25  04:39:00,20.4,22.2528695726807,20.44553524722887,22.339999999999996 
 01/25  04:40:00,20.4,22.25286957275091,20.445535247264164,22.339999999999996 
 01/25  04:41:00,20.4,22.252869572814056,20.445535247303688,22.339999999999996 
 01/25  04:42:00,20.4,22.252869572868843,20.445535247346925,22.339999999999996 
