Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  06:46:00,20.4,20.4012998189698 
 01/25  06:47:00,20.4,20.401299818970497 
 01/25  06:48:00,20.4,20.401299818971207 
 01/25  06:49:00,20.4,20.401299818971918 
 01/25  06:50:00,20.4,20.401299818972632 
 01/25  06:51:00,20.4,20.401299818973346 
 01/25  06:52:00,20.4,20.401299818974053 
 01/25  06:53:00,20.4,20.40129981897475 
 01/25  06:54:00,20.4,20.401299818975435 
 01/25  06:55:00,20.4,20.401299818976117 
 01/25  06:56:00,20.4,20.401299818976796 
 01/25  06:57:00,20.4,20.401299818977467 
 01/25  06:58:00,20.4,20.40129981897814 
 01/25  06:59:00,20.4,20.40129981897881 
 01/25  07:00:00,20.4,20.401299818979478 
 01/25  07:01:00,20.4,20.401299818980142 
 01/25  07:02:00,20.4,20.401299818980796 
 01/25  07:03:00,20.4,20.401299818981435 
 01/25  07:04:00,20.4,20.401299818982057 
 01/25  07:05:00,20.4,20.401299818982654 
 01/25  07:06:00,20.4,20.40129981898322 
 01/25  07:07:00,20.4,20.40129981898373 
 01/25  07:08:00,20.4,20.40129981898419 
 01/25  07:09:00,20.4,20.40129981898459 
 01/25  07:10:00,20.4,20.401299818984942 
 01/25  07:11:00,20.4,20.40129981898525 
 01/25  07:12:00,20.4,20.40129981898553 
 01/25  07:13:00,20.4,20.40129981898579 
 01/25  07:14:00,20.4,20.40129981898605 
 01/25  07:15:00,20.4,20.40129981898632 
 01/25  07:16:00,20.4,20.401299818986608 
 01/25  07:17:00,20.4,20.401299818986924 
 01/25  07:18:00,20.4,20.401299818987273 
 01/25  07:19:00,20.4,20.40129981898767 
 01/25  07:20:00,20.4,20.401299818988115 
 01/25  07:21:00,20.4,20.401299818988612 
 01/25  07:22:00,20.4,20.401299818989152 
 01/25  07:23:00,20.4,20.401299818989724 
 01/25  07:24:00,20.4,20.401299818990324 
 01/25  07:25:00,20.4,20.401299818990946 
 01/25  07:26:00,20.4,20.40129981899158 
 01/25  07:27:00,20.4,20.401299818992218 
 01/25  07:28:00,20.4,20.40129981899285 
 01/25  07:29:00,20.4,20.401299818993472 
 01/25  07:30:00,20.4,20.40129981899409 
 01/25  07:31:00,20.4,20.401299818994698 
 01/25  07:32:00,20.4,20.40129981899528 
 01/25  07:33:00,20.4,20.401299818995838 
 01/25  07:34:00,20.4,20.401299818996375 
 01/25  07:35:00,20.4,20.40129981899689 
 01/25  07:36:00,20.4,20.401299818997394 
 01/25  07:37:00,20.4,20.401299818997895 
 01/25  07:38:00,20.4,20.4012998189984 
 01/25  07:39:00,20.4,20.401299818998922 
 01/25  07:40:00,20.4,20.401299818999465 
 01/25  07:41:00,20.4,20.401299819000034 
 01/25  07:42:00,20.4,20.40129981900062 
 01/25  07:43:00,20.4,20.40129981900122 
 01/25  07:44:00,20.4,20.40129981900183 
 01/25  07:45:00,20.4,20.401299819002446 
 01/25  07:46:00,20.4,20.40129981900307 
 01/25  07:47:00,20.4,20.401299819003697 
 01/25  07:48:00,20.4,20.401299819004322 
 01/25  07:49:00,20.4,20.401299819004954 
 01/25  07:50:00,20.4,20.401299819005597 
