Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  08:36:00,20.4,22.34 
 01/25  08:37:00,20.4,22.34 
 01/25  08:38:00,20.4,22.34 
 01/25  08:39:00,20.4,22.34 
 01/25  08:40:00,20.4,22.340000000000003 
 01/25  08:41:00,20.4,22.340000000000003 
 01/25  08:42:00,20.4,22.34 
 01/25  08:43:00,20.4,22.34 
 01/25  08:44:00,20.4,22.340000000000003 
 01/25  08:45:00,20.4,22.339999999999996 
 01/25  08:46:00,20.4,22.340000000000003 
 01/25  08:47:00,20.4,22.34 
 01/25  08:48:00,20.4,22.340000000000003 
 01/25  08:49:00,20.4,22.34 
 01/25  08:50:00,20.4,22.34 
 01/25  08:51:00,20.4,22.34 
 01/25  08:52:00,20.4,22.340000000000003 
 01/25  08:53:00,20.4,22.340000000000003 
 01/25  08:54:00,20.4,22.34 
 01/25  08:55:00,20.4,22.340000000000003 
 01/25  08:56:00,20.4,22.340000000000003 
 01/25  08:57:00,20.4,22.340000000000003 
 01/25  08:58:00,20.4,22.34 
 01/25  08:59:00,20.4,22.340000000000003 
 01/25  09:00:00,20.4,22.34 
 01/25  09:01:00,20.4,22.340000000000003 
 01/25  09:02:00,20.4,22.34 
 01/25  09:03:00,20.4,22.34 
 01/25  09:04:00,20.4,22.340000000000003 
 01/25  09:05:00,20.4,22.34 
 01/25  09:06:00,20.4,22.34 
 01/25  09:07:00,20.4,22.339999999999996 
 01/25  09:08:00,20.4,22.34 
 01/25  09:09:00,20.4,22.340000000000003 
 01/25  09:10:00,20.4,22.34 
 01/25  09:11:00,20.4,22.34 
 01/25  09:12:00,20.4,22.340000000000003 
 01/25  09:13:00,20.4,22.340000000000003 
 01/25  09:14:00,20.4,22.340000000000003 
 01/25  09:15:00,20.4,22.340000000000003 
 01/25  09:16:00,20.4,22.34 
 01/25  09:17:00,20.4,22.34 
 01/25  09:18:00,20.4,22.34 
 01/25  09:19:00,20.4,22.34 
 01/25  09:20:00,20.4,22.340000000000003 
 01/25  09:21:00,20.4,22.34 
 01/25  09:22:00,20.4,22.340000000000003 
 01/25  09:23:00,20.4,22.34 
 01/25  09:24:00,20.4,22.340000000000003 
 01/25  09:25:00,20.4,22.340000000000003 
 01/25  09:26:00,20.4,22.34 
 01/25  09:27:00,20.4,22.340000000000003 
 01/25  09:28:00,20.4,22.34 
 01/25  09:29:00,20.4,22.340000000000003 
 01/25  09:30:00,20.4,22.340000000000003 
 01/25  09:31:00,20.4,22.34 
 01/25  09:32:00,20.4,22.339999999999996 
 01/25  09:33:00,20.4,22.340000000000003 
